	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
	Error: Missing Mac Postcriptname from name table! Should be in record (1, 0, 0, 6)
	Error: Missing Mac Compatible Family Name from name table! Should be in record (1, 0, 0, 1) 
	Error: Missing Mac Compatible SubFamily Name from name table! Should be in record (1, 0, 0, 2) 
	Error: Missing Mac Full Font Name from name table! Should be in record (1, 0, 0, 4) 
	Warning: Missing Mac Version String from name table! Should be in record (1, 0, 0, 5) 
